time	V(n001)	V(n003)	V(n003)-V(n002)
3.324180732381767e-004	-1.998806e-006	-2.927194e-003	-2.885219e-003
3.331499268828180e-004	-1.178744e-005	-2.811739e-003	-2.564203e-003
3.340554423985859e-004	-2.172639e-005	-2.487025e-003	-2.030771e-003
3.352273173985859e-004	-3.066220e-005	-1.858293e-003	-1.214386e-003
3.363991923985859e-004	-3.510126e-005	-1.089909e-003	-3.527828e-004
3.373559771043950e-004	-3.512973e-005	-4.188314e-004	3.188930e-004
3.381955941691416e-004	-3.250674e-005	1.497830e-004	8.324246e-004
3.390423250625739e-004	-2.780816e-005	6.570190e-004	1.240990e-003
3.400083317086832e-004	-2.072530e-005	1.114035e-003	1.549266e-003
3.411802067086832e-004	-1.091891e-005	1.489984e-003	1.719282e-003
3.420599782090712e-004	-3.309174e-006	1.635551e-003	1.705044e-003
3.426960426990943e-004	1.983550e-006	1.650329e-003	1.608674e-003
3.433454276037078e-004	6.815447e-006	1.585098e-003	1.441973e-003
3.443422731342964e-004	1.283830e-005	1.372738e-003	1.103134e-003
3.455141481342963e-004	1.766447e-005	1.009932e-003	6.389780e-004
3.466860231342963e-004	1.991515e-005	5.707507e-004	1.525325e-004
3.476079534643361e-004	1.975640e-005	2.055052e-004	-2.093792e-004
3.484463301623546e-004	1.815389e-005	-1.126681e-004	-4.938998e-004
3.492906847499099e-004	1.541661e-005	-3.933862e-004	-7.171349e-004
3.503001792310155e-004	1.116157e-005	-6.547288e-004	-8.891219e-004
3.514720542310154e-004	5.587698e-006	-8.561555e-004	-9.734971e-004
3.523129252780266e-004	1.491091e-006	-9.260008e-004	-9.573137e-004
3.529821566969862e-004	-1.624326e-006	-9.288053e-004	-8.946945e-004
3.535899495462935e-004	-4.122895e-006	-8.891667e-004	-8.025859e-004
3.546849310629305e-004	-7.712629e-006	-7.483991e-004	-5.864339e-004
3.558568060629305e-004	-1.024282e-005	-5.367164e-004	-3.216172e-004
3.570286810629305e-004	-1.130109e-005	-2.847834e-004	-4.746056e-005
3.578968470612025e-004	-1.108225e-005	-9.074415e-005	1.419831e-004
3.587332705427183e-004	-1.007969e-005	8.633671e-005	2.980101e-004
3.595740968110532e-004	-8.468444e-006	2.400700e-004	4.179073e-004
