v1	V(n002)	I(R1)
4.779999999999943e+000	7.507201e-001	-4.029280e-002
4.789999999999942e+000	7.507839e-001	-4.039216e-002
4.799999999999942e+000	7.508474e-001	-4.049153e-002
4.809999999999942e+000	7.509108e-001	-4.059089e-002
4.819999999999942e+000	7.509741e-001	-4.069026e-002
4.829999999999942e+000	7.510371e-001	-4.078963e-002
4.839999999999941e+000	7.511001e-001	-4.088900e-002
4.849999999999941e+000	7.511628e-001	-4.098837e-002
4.859999999999941e+000	7.512255e-001	-4.108775e-002
4.869999999999941e+000	7.512879e-001	-4.118712e-002
4.879999999999940e+000	7.513503e-001	-4.128650e-002
4.889999999999940e+000	7.514125e-001	-4.138587e-002
4.899999999999940e+000	7.514745e-001	-4.148525e-002
4.909999999999940e+000	7.515364e-001	-4.158464e-002
4.919999999999940e+000	7.515981e-001	-4.168402e-002
4.929999999999939e+000	7.516598e-001	-4.178340e-002
4.939999999999939e+000	7.517211e-001	-4.188279e-002
4.949999999999939e+000	7.517825e-001	-4.198217e-002
4.959999999999939e+000	7.518436e-001	-4.208156e-002
