t,VRc,Cid
1.219248665472949e-002,4.367423,1
1.221198265352468e-002,4.399339,1
1.222738675109568e-002,4.447745,1
1.224458607087617e-002,4.520331,1
1.226298708687307e-002,4.614859,1
1.228613806149728e-002,4.749815,1
1.232364966603348e-002,4.95816,1
1.238329112561604e-002,5.156183,1
1.244005165013310e-002,5.133117,1
1.246794478346388e-002,5.030349,1
1.250380511013068e-002,4.860274,1
1.254526331662599e-002,4.679158,1
1.254601736154888e-002,4.676201,1
1.254752545139468e-002,4.670594,1
1.255054163108626e-002,4.658792,1
1.255657399046944e-002,4.633483,1
1.256863870923578e-002,4.580374,1
1.259276814676847e-002,4.47526,1
1.261673421536314e-002,4.386338,1
1.265953518273306e-002,4.288754,1
1.269942971209057e-002,4.273017,1
1.271714874122272e-002,4.302215,1
1.273377400371556e-002,4.35651,1
1.274973868562670e-002,4.425529,1
1.276490287421602e-002,4.505179,1
1.278925294870462e-002,4.64986,1
1.282866702558754e-002,4.869624,1
1.289110677658577e-002,5.072512,1
1.294494284859304e-002,5.041086,1
1.297292884704618e-002,4.93461,1
1.300701537646808e-002,4.775023,1
1.304239305197824e-002,4.624736,1
1.304317100479034e-002,4.621815,1
1.304472691041453e-002,4.616315,1
1.304783872166290e-002,4.604661,1
1.305406234415966e-002,4.579384,1
1.306650958915317e-002,4.525556,1
1.309140407914019e-002,4.418124,1
1.311788300859885e-002,4.32239,1
1.316304628624744e-002,4.229887,1
1.320370990397966e-002,4.228548,1
1.322035194371209e-002,4.263438,1
1.323763632572527e-002,4.329464,1
1.326039684049964e-002,4.442906,1
1.328192472289552e-002,4.570617,1
1.331684937353087e-002,4.78342,1
1.337262788430484e-002,5.015435,1
1.343808920524060e-002,5.052875,1
1.346808889826355e-002,4.962345,1
1.350893990034028e-002,4.769361,1
1.354377152224942e-002,4.605474,1
1.354457529959547e-002,4.601764,1
1.354618285428756e-002,4.594392,1
1.354939796367176e-002,4.579666,1
1.355546336188947e-002,4.552112,1
1.356759415832490e-002,4.497544,1
1.356797324571351e-002,4.495853,1
1.356873142049072e-002,4.49248,1
1.357024777004515e-002,4.485706,1
1.357328046915401e-002,4.472163,1
1.357934586737172e-002,4.445177,1
1.358084483546790e-002,4.438532,1
1.358384277166026e-002,4.425289,1
1.358983864404497e-002,4.399113,1
1.360183038881441e-002,4.349629,1
1.362581387835327e-002,4.272931,1
1.367378085743101e-002,4.194417,1
1.370334576559571e-002,4.204268,1
1.372007891610697e-002,4.243644,1
1.373730625751785e-002,4.310588,1
1.376027351797998e-002,4.426752,1
1.378172407787194e-002,4.555704,1
1.381652517147871e-002,4.7709,1
1.387211760183314e-002,5.008458,1
1.393724598059719e-002,5.053863,1
1.396743705139816e-002,4.965096,1
1.400901387627464e-002,4.769002,1
1.404362305546564e-002,4.607098,1
1.409383293863108e-002,4.388636,1
1.412350122434476e-002,4.277604,1
1.412879564958270e-002,4.262807,1
1.413938450005858e-002,4.242869,1
1.416056220101035e-002,4.228944,1
1.420291760291388e-002,4.26593,1
1.421975800343429e-002,4.309309,1
1.423691849989676e-002,4.382077,1
1.426012859727547e-002,4.506007,1
1.428148828778067e-002,4.638567,1
1.431614414184979e-002,4.856061,1
1.437151765952882e-002,5.090473,1
1.443749165355012e-002,5.127673,1
1.446733361202547e-002,5.036028,1
1.450805265158017e-002,4.840555,1
1.454301541640450e-002,4.673357,1
1.454382465238065e-002,4.669557,1
1.454544312433293e-002,4.662007,1
1.454584774232100e-002,4.660121,1
