time	V(n001)	V(n002)
9.107387053720861e-003	-1.658821e+000	-1.668431e-009
9.129708482292288e-003	-1.985291e+000	-1.994824e-009
9.152029910863717e-003	-2.299770e+000	-2.309229e-009
9.174351339435144e-003	-2.602257e+000	-2.611645e-009
9.196672768006573e-003	-2.892753e+000	-2.902073e-009
9.218994196578000e-003	-3.171258e+000	-3.180512e-009
9.241315625149429e-003	-3.437771e+000	-3.446962e-009
9.278983035863714e-003	-3.851306e+000	-3.860399e-009
9.316650446577998e-003	-4.201358e+000	-4.210369e-009
9.354317857292283e-003	-4.487928e+000	-4.496872e-009
9.391985268006569e-003	-4.711016e+000	-4.719908e-009
9.429652678720854e-003	-4.870622e+000	-4.879476e-009
9.467320089435138e-003	-4.966745e+000	-4.975576e-009
9.504987500149423e-003	-4.999386e+000	-5.008210e-009
9.541259821577993e-003	-4.951555e+000	-4.960390e-009
9.577532143006565e-003	-4.845192e+000	-4.854052e-009
9.613804464435135e-003	-4.680295e+000	-4.689194e-009
9.650076785863706e-003	-4.456866e+000	-4.465817e-009
9.686349107292276e-003	-4.174904e+000	-4.183922e-009
9.722621428720848e-003	-3.834409e+000	-3.843507e-009
9.758893750149418e-003	-3.435382e+000	-3.444574e-009
9.767264285863704e-003	-3.338494e+000	-3.347708e-009
9.775634821577988e-003	-3.239473e+000	-3.248711e-009
9.784005357292274e-003	-3.138319e+000	-3.147580e-009
9.792375893006560e-003	-3.035032e+000	-3.044318e-009
9.800746428720846e-003	-2.929612e+000	-2.938922e-009
9.809116964435130e-003	-2.822059e+000	-2.831395e-009
9.817487500149416e-003	-2.712373e+000	-2.721734e-009
9.827253125149416e-003	-2.582251e+000	-2.591643e-009
9.845389285863702e-003	-2.332093e+000	-2.341544e-009
9.863525446577986e-003	-2.076491e+000	-2.086003e-009
9.881661607292272e-003	-1.815448e+000	-1.825021e-009
9.899797768006558e-003	-1.548962e+000	-1.558597e-009
9.917933928720844e-003	-1.277033e+000	-1.286732e-009
9.936070089435128e-003	-9.996616e-001	-1.009426e-009
9.954206250149414e-003	-7.168478e-001	-7.266791e-010
9.993268750149413e-003	-1.057263e-001	-1.126628e-010
1.000000000000000e-002	-6.123234e-015	-3.313023e-017
