time	V(n001)	V(n002)
3.410177501942999e-001	6.141429e+000	7.604278e-001
3.432686815350832e-001	6.996796e+000	7.647872e-001
3.455196128758666e-001	7.850426e+000	7.684604e-001
3.477705442166499e-001	8.702319e+000	7.714472e-001
3.500214755574332e-001	9.552473e+000	7.737478e-001
3.526277422944174e-001	8.559503e+000	7.715038e-001
3.552340090314015e-001	7.566474e+000	7.680277e-001
3.578402757683856e-001	6.573386e+000	7.633197e-001
3.604465425053697e-001	5.580240e+000	7.573797e-001
3.630528092423538e-001	4.587035e+000	7.502077e-001
3.656590759793379e-001	3.593771e+000	7.418038e-001
3.682653427163220e-001	2.600449e+000	7.321678e-001
3.688233784306077e-001	2.387755e+000	7.298905e-001
3.693814141448933e-001	2.175006e+000	7.264368e-001
3.699394498591790e-001	1.962200e+000	7.218066e-001
3.704974855734647e-001	1.749339e+000	7.160001e-001
3.710555212877504e-001	1.536421e+000	7.090171e-001
3.716135570020361e-001	1.323448e+000	7.008577e-001
3.721715927163218e-001	1.110418e+000	6.915218e-001
3.725622177163218e-001	9.610569e-001	6.799372e-001
3.729528427163217e-001	8.112520e-001	6.590327e-001
3.733434677163217e-001	6.600772e-001	6.093616e-001
3.736601553881945e-001	5.354623e-001	5.259519e-001
3.739966127955346e-001	4.013465e-001	4.011782e-001
3.742510337609370e-001	2.995903e-001	2.996664e-001
3.753099654486869e-001	-1.239830e-001	-1.239202e-001
3.761470190201155e-001	-4.588047e-001	-4.587474e-001
3.769840725915440e-001	-7.936264e-001	-7.935739e-001
3.778211261629725e-001	-1.128448e+000	-1.128399e+000
3.786581797344010e-001	-1.463270e+000	-1.463224e+000
3.794952333058296e-001	-1.798091e+000	-1.798048e+000
3.803322868772581e-001	-2.132913e+000	-2.132872e+000
3.811693404486866e-001	-2.467734e+000	-2.467694e+000
3.818947868772580e-001	-2.757913e+000	-2.757874e+000
3.826202333058294e-001	-3.048091e+000	-3.048054e+000
3.833456797344008e-001	-3.338270e+000	-3.338233e+000
3.840711261629722e-001	-3.628449e+000	-3.628412e+000
3.847965725915435e-001	-3.918627e+000	-3.918590e+000
3.855220190201150e-001	-4.208806e+000	-4.208769e+000
3.862474654486863e-001	-4.498984e+000	-4.498946e+000
3.870287154486863e-001	-4.811484e+000	-4.811441e+000
3.874193404486863e-001	-4.967734e+000	-4.967686e+000
3.878099654486862e-001	-5.123983e+000	-5.123928e+000
3.882005904486862e-001	-5.280233e+000	-5.280166e+000
3.885912154486862e-001	-5.436482e+000	-5.436398e+000
3.889818404486862e-001	-5.592731e+000	-5.592619e+000
3.893724654486861e-001	-5.748979e+000	-5.748827e+000
3.897630904486861e-001	-5.905226e+000	-5.905010e+000
3.901537154486861e-001	-6.061471e+000	-6.061160e+000
3.905443404486861e-001	-6.217713e+000	-6.217257e+000
3.909349654486861e-001	-6.373952e+000	-6.373275e+000
3.913255904486860e-001	-6.530186e+000	-6.529173e+000
3.917162154486860e-001	-6.686413e+000	-6.684952e+000
3.917650435736860e-001	-6.705940e+000	-6.704394e+000
3.918626998236860e-001	-6.744717e+000	-6.737454e+000
3.920580123236860e-001	-6.821293e+000	-6.783051e+000
3.921068404486860e-001	-6.840163e+000	-6.788691e+000
3.922044966986861e-001	-6.877529e+000	-6.792134e+000
3.923998091986861e-001	-6.952131e+000	-6.796272e+000
3.927904341986860e-001	-7.101174e+000	-6.801177e+000
3.936274877701146e-001	-7.420244e+000	-6.805218e+000
3.944645413415431e-001	-7.739284e+000	-6.808640e+000
3.953015949129716e-001	-8.058295e+000	-6.811444e+000
3.961386484844001e-001	-8.377277e+000	-6.813630e+000
3.969757020558287e-001	-8.696229e+000	-6.815198e+000
3.978127556272572e-001	-9.015152e+000	-6.816147e+000
3.986498091986857e-001	-9.334045e+000	-6.816479e+000
3.998473287295910e-001	-9.790299e+000	-6.817653e+000
4.000000000000000e-001	-9.848466e+000	-6.817790e+000
