time	V(n001)-V(n005)	V(n003)	V(n004)
2.263109704860942e-003	-1.277929e+000	-2.339640e+000	3.012017e-001
2.264330407985942e-003	-1.454319e+000	-2.484226e+000	3.219706e-001
2.266771814235942e-003	-1.539699e+000	-2.771082e+000	3.972757e-001
2.271654626735942e-003	-1.750343e+000	-3.329822e+000	5.894910e-001
2.281420251735942e-003	-2.265472e+000	-4.398803e+000	1.073845e+000
2.291185876735942e-003	-2.862773e+000	-5.398550e+000	1.647531e+000
2.300951501735942e-003	-3.514832e+000	-6.309768e+000	2.281948e+000
2.310717126735942e-003	-4.182459e+000	-7.121491e+000	2.936095e+000
2.320482751735941e-003	-4.835079e+000	-7.823405e+000	3.578311e+000
2.330248376735941e-003	-5.448763e+000	-8.406259e+000	4.183805e+000
2.340014001735941e-003	-6.004385e+000	-8.862188e+000	4.732970e+000
2.349779626735941e-003	-6.486718e+000	-9.184957e+000	5.210279e+000
2.359545251735941e-003	-6.883761e+000	-9.370132e+000	5.603521e+000
2.369310876735940e-003	-7.186257e+000	-9.415219e+000	5.903298e+000
2.379076501735940e-003	-7.387376e+000	-9.319734e+000	6.102684e+000
2.388842126735940e-003	-7.482500e+000	-9.085243e+000	6.197009e+000
2.398607751735940e-003	-7.469075e+000	-8.715359e+000	6.183696e+000
2.408373376735939e-003	-7.346500e+000	-8.215697e+000	6.062158e+000
2.418139001735939e-003	-7.116029e+000	-7.593806e+000	5.833692e+000
2.427904626735939e-003	-6.780671e+000	-6.859052e+000	5.501400e+000
2.437670251735939e-003	-6.345092e+000	-6.022488e+000	5.070094e+000
2.447435876735939e-003	-5.815481e+000	-5.096686e+000	4.546206e+000
2.457201501735938e-003	-5.199393e+000	-4.095552e+000	3.937692e+000
2.466967126735938e-003	-4.505517e+000	-3.034108e+000	3.253942e+000
2.476732751735938e-003	-3.743249e+000	-1.928263e+000	2.505750e+000
2.486498376735938e-003	-2.921069e+000	-7.945367e-001	1.705553e+000
2.496264001735938e-003	-2.020790e+000	3.506190e-001	8.723423e-001
2.506029626735937e-003	-6.169217e-001	1.497433e+000	3.577805e-001
2.515795251735937e-003	1.523740e+000	2.645442e+000	4.899984e-001
2.517015954860937e-003	1.694075e+000	2.788820e+000	5.353593e-001
2.519457361110937e-003	1.777195e+000	3.072543e+000	6.119245e-001
2.524340173610937e-003	1.984476e+000	3.623945e+000	8.061630e-001
2.534105798610937e-003	2.494498e+000	4.675273e+000	1.292325e+000
2.543871423610937e-003	3.086251e+000	5.653825e+000	1.864172e+000
2.553637048610937e-003	3.729920e+000	6.540108e+000	2.492254e+000
2.563402673610936e-003	4.385499e+000	7.323526e+000	3.135685e+000
2.573168298610936e-003	5.022554e+000	7.994173e+000	3.763154e+000
2.582933923610936e-003	5.617298e+000	8.543251e+000	4.350296e+000
2.592699548610936e-003	6.150975e+000	8.963387e+000	4.877980e+000
2.602465173610936e-003	6.608799e+000	9.248868e+000	5.331161e+000
2.612230798610935e-003	6.979226e+000	9.395813e+000	5.698112e+000
2.621996423610935e-003	7.254484e+000	9.403651e+000	5.970930e+000
2.631383178257416e-003	7.421504e+000	9.277539e+000	6.136524e+000
2.641148803257416e-003	7.489672e+000	9.009353e+000	6.204122e+000
2.650914428257416e-003	7.450146e+000	8.608267e+000	6.164926e+000
2.660680053257415e-003	7.301701e+000	8.079007e+000	6.017742e+000
2.670445678257415e-003	7.045984e+000	7.429564e+000	5.764272e+000
2.680211303257415e-003	6.686383e+000	6.669718e+000	5.408007e+000
2.689976928257415e-003	6.227921e+000	5.810899e+000	4.954135e+000
2.699742553257415e-003	5.677115e+000	4.866012e+000	4.409448e+000
2.709508178257414e-003	5.041809e+000	3.849247e+000	3.782238e+000
2.719273803257414e-003	4.330903e+000	2.775859e+000	3.082226e+000
2.729039428257414e-003	3.553722e+000	1.661926e+000	2.320560e+000
2.738805053257414e-003	2.718005e+000	5.240619e-001	1.510215e+000
2.748570678257413e-003	1.551037e+000	-6.249911e-001	7.149580e-001
2.758336303257413e-003	-3.421414e-002	-1.777852e+000	2.710046e-001
2.768101928257413e-003	-1.337820e+000	-2.918300e+000	4.171082e-001
2.777867553257413e-003	-2.053882e+000	-4.016161e+000	8.741772e-001
2.787633178257413e-003	-2.625456e+000	-5.044892e+000	1.418518e+000
2.797398803257412e-003	-3.266512e+000	-5.989313e+000	2.039584e+000
2.807164428257412e-003	-3.934732e+000	-6.838280e+000	2.692883e+000
2.816930053257412e-003	-4.597363e+000	-7.581150e+000	3.344138e+000
2.826695678257412e-003	-5.228696e+000	-8.208220e+000	3.966534e+000
2.836461303257412e-003	-5.808101e+000	-8.711082e+000	4.538877e+000
