Freq.	mag(V(n002)/V(n006))
1.78821821821823e+003	1.61651678825474e+000,0.00000000000000e+000
1.79321321321322e+003	1.61979650027546e+000,0.00000000000000e+000
1.79820820820822e+003	1.62306869673655e+000,0.00000000000000e+000
1.80320320320321e+003	1.62633338524210e+000,0.00000000000000e+000
1.80819819819821e+003	1.62959057348197e+000,0.00000000000000e+000
1.81319319319320e+003	1.63284026923102e+000,0.00000000000000e+000
1.81818818818820e+003	1.63608248034824e+000,0.00000000000000e+000
1.82318318318319e+003	1.63931721477598e+000,0.00000000000000e+000
1.82817817817819e+003	1.64254448053907e+000,0.00000000000000e+000
1.83317317317318e+003	1.64576428574403e+000,0.00000000000000e+000
1.83816816816818e+003	1.64897663857826e+000,0.00000000000000e+000
1.84316316316317e+003	1.65218154730921e+000,0.00000000000000e+000
1.84815815815817e+003	1.65537902028360e+000,0.00000000000000e+000
1.85315315315316e+003	1.65856906592658e+000,0.00000000000000e+000
1.85814814814816e+003	1.66175169274093e+000,0.00000000000000e+000
1.86314314314315e+003	1.66492690930627e+000,0.00000000000000e+000
1.86813813813815e+003	1.66809472427829e+000,0.00000000000000e+000
1.87313313313314e+003	1.67125514638790e+000,0.00000000000000e+000
1.87812812812814e+003	1.67440818444044e+000,0.00000000000000e+000
1.88312312312313e+003	1.67755384731496e+000,0.00000000000000e+000
1.88811811811813e+003	1.68069214396335e+000,0.00000000000000e+000
1.89311311311312e+003	1.68382308340962e+000,0.00000000000000e+000
1.89810810810812e+003	1.68694667474907e+000,0.00000000000000e+000
1.90310310310311e+003	1.69006292714757e+000,0.00000000000000e+000
1.90809809809811e+003	1.69317184984071e+000,0.00000000000000e+000
1.91309309309310e+003	1.69627345213311e+000,0.00000000000000e+000
1.91808808808810e+003	1.69936774339759e+000,0.00000000000000e+000
1.92308308308309e+003	1.70245473307447e+000,0.00000000000000e+000
1.92807807807809e+003	1.70553443067072e+000,0.00000000000000e+000
1.93307307307308e+003	1.70860684575929e+000,0.00000000000000e+000
1.93806806806808e+003	1.71167198797831e+000,0.00000000000000e+000
1.94306306306307e+003	1.71472986703035e+000,0.00000000000000e+000
1.94805805805807e+003	1.71778049268167e+000,0.00000000000000e+000
1.95305305305306e+003	1.72082387476147e+000,0.00000000000000e+000
1.95804804804806e+003	1.72386002316117e+000,0.00000000000000e+000
1.96304304304305e+003	1.72688894783364e+000,0.00000000000000e+000
1.96803803803805e+003	1.72991065879251e+000,0.00000000000000e+000
1.97303303303304e+003	1.73292516611140e+000,0.00000000000000e+000
1.97802802802804e+003	1.73593247992320e+000,0.00000000000000e+000
1.98302302302303e+003	1.73893261041937e+000,0.00000000000000e+000
1.98801801801803e+003	1.74192556784918e+000,0.00000000000000e+000
1.99301301301302e+003	1.74491136251905e+000,0.00000000000000e+000
1.99800800800802e+003	1.74789000479176e+000,0.00000000000000e+000
2.00300300300301e+003	1.75086150508582e+000,0.00000000000000e+000
2.00799799799801e+003	1.75382587387472e+000,0.00000000000000e+000
2.01299299299300e+003	1.75678312168621e+000,0.00000000000000e+000
2.01798798798800e+003	1.75973325910166e+000,0.00000000000000e+000
2.02298298298299e+003	1.76267629675531e+000,0.00000000000000e+000
2.02797797797799e+003	1.76561224533359e+000,0.00000000000000e+000
2.03297297297298e+003	1.76854111557446e+000,0.00000000000000e+000
2.03796796796798e+003	1.77146291826669e+000,0.00000000000000e+000
2.04296296296297e+003	1.77437766424919e+000,0.00000000000000e+000
2.04795795795797e+003	1.77728536441036e+000,0.00000000000000e+000
2.05295295295296e+003	1.78018602968735e+000,0.00000000000000e+000
2.05794794794796e+003	1.78307967106547e+000,0.00000000000000e+000
2.06294294294295e+003	1.78596629957747e+000,0.00000000000000e+000
