time	V(vin)	V(vout)	I(R1)
1.000034447359739e-002	5.000000e+000	3.916528e-005	-1.708181e-005
1.000068794719479e-002	5.000000e+000	1.476386e-004	-3.392936e-005
1.000103142079218e-002	5.000000e+000	3.254493e-004	-5.056768e-005
1.000137489438957e-002	5.000000e+000	5.725972e-004	-6.699676e-005
1.000171836798696e-002	5.000000e+000	8.890824e-004	-8.321662e-005
1.000206184158436e-002	5.000000e+000	1.274905e-003	-9.922725e-005
1.000240531518175e-002	5.000000e+000	1.730065e-003	-1.150286e-004
1.000473851740212e-002	5.000000e+000	6.168056e-003	-2.182594e-004
1.000806662765666e-002	5.000000e+000	1.654994e-002	-3.530691e-004
1.001303044069998e-002	5.000000e+000	3.987935e-002	-5.296842e-004
1.001957075970078e-002	5.000000e+000	8.274621e-002	-7.236511e-004
1.002850191362841e-002	5.000000e+000	1.590799e-001	-9.294710e-004
1.003994199584582e-002	5.000000e+000	2.788034e-001	-1.115378e-003
1.005504908725085e-002	5.000000e+000	4.613686e-001	-1.263475e-003
1.007445691372466e-002	5.000000e+000	7.165928e-001	-1.349826e-003
1.009598607168117e-002	5.000000e+000	1.008381e+000	-1.360769e-003
1.012150841336275e-002	5.000000e+000	1.348230e+000	-1.310006e-003
1.015080528836275e-002	5.000000e+000	1.717305e+000	-1.214962e-003
1.018010216336275e-002	5.000000e+000	2.057384e+000	-1.106638e-003
1.020939903836275e-002	5.000000e+000	2.365748e+000	-9.984667e-004
1.023869591336275e-002	5.000000e+000	2.643363e+000	-8.967117e-004
1.026799278836275e-002	5.000000e+000	2.892416e+000	-8.034908e-004
1.029728966336275e-002	5.000000e+000	3.115458e+000	-7.191468e-004
1.032658653836275e-002	5.000000e+000	3.315035e+000	-6.432945e-004
1.035588341336275e-002	5.000000e+000	3.493537e+000	-5.752816e-004
1.038518028836275e-002	5.000000e+000	3.653157e+000	-5.143877e-004
1.041447716336275e-002	5.000000e+000	3.795876e+000	-4.599074e-004
1.044377403836275e-002	5.000000e+000	3.923477e+000	-4.111831e-004
1.047307091336275e-002	5.000000e+000	4.037559e+000	-3.676144e-004
1.050236778836275e-002	5.000000e+000	4.139552e+000	-3.286595e-004
1.053166466336275e-002	5.000000e+000	4.230737e+000	-2.938312e-004
1.056096153836274e-002	5.000000e+000	4.312259e+000	-2.626931e-004
1.059025841336274e-002	5.000000e+000	4.385142e+000	-2.348546e-004
1.061955528836274e-002	5.000000e+000	4.450301e+000	-2.099661e-004
1.064885216336274e-002	5.000000e+000	4.508555e+000	-1.877151e-004
1.067814903836274e-002	5.000000e+000	4.560636e+000	-1.678221e-004
1.070744591336274e-002	5.000000e+000	4.607197e+000	-1.500372e-004
1.073674278836274e-002	5.000000e+000	4.648825e+000	-1.341371e-004
1.076603966336274e-002	5.000000e+000	4.686040e+000	-1.199220e-004
1.079533653836274e-002	5.000000e+000	4.719312e+000	-1.072133e-004
1.082463341336274e-002	5.000000e+000	4.749058e+000	-9.585141e-005
1.085393028836274e-002	5.000000e+000	4.775651e+000	-8.569359e-005
1.088322716336274e-002	5.000000e+000	4.799427e+000	-7.661225e-005
1.091252403836274e-002	5.000000e+000	4.820682e+000	-6.849330e-005
1.094182091336274e-002	5.000000e+000	4.839685e+000	-6.123475e-005
1.097111778836274e-002	5.000000e+000	4.856675e+000	-5.474543e-005
1.100041466336274e-002	5.000000e+000	4.871863e+000	-4.894381e-005
1.102971153836273e-002	5.000000e+000	4.885443e+000	-4.375701e-005
1.105900841336273e-002	5.000000e+000	4.897583e+000	-3.911988e-005
1.108830528836273e-002	5.000000e+000	4.908436e+000	-3.497417e-005
1.111760216336273e-002	5.000000e+000	4.918139e+000	-3.126779e-005
1.114689903836273e-002	5.000000e+000	4.926815e+000	-2.795420e-005
1.117619591336273e-002	5.000000e+000	4.934570e+000	-2.499177e-005
1.120549278836273e-002	5.000000e+000	4.941504e+000	-2.234328e-005
1.123478966336273e-002	5.000000e+000	4.947703e+000	-1.997546e-005
1.126408653836273e-002	5.000000e+000	4.953246e+000	-1.785857e-005
1.129338341336273e-002	5.000000e+000	4.958200e+000	-1.596601e-005
1.132268028836273e-002	5.000000e+000	4.962630e+000	-1.427402e-005
1.135197716336273e-002	5.000000e+000	4.966590e+000	-1.276134e-005
1.138127403836273e-002	5.000000e+000	4.970131e+000	-1.140896e-005
1.141057091336273e-002	5.000000e+000	4.973296e+000	-1.019990e-005
1.143986778836273e-002	5.000000e+000	4.976126e+000	-9.118972e-006
1.146916466336273e-002	5.000000e+000	4.978656e+000	-8.152593e-006
1.149846153836272e-002	5.000000e+000	4.980918e+000	-7.288625e-006
1.152775841336272e-002	5.000000e+000	4.982940e+000	-6.516217e-006
1.155705528836272e-002	5.000000e+000	4.984748e+000	-5.825663e-006
1.158635216336272e-002	5.000000e+000	4.986364e+000	-5.208291e-006
1.161564903836272e-002	5.000000e+000	4.987810e+000	-4.656345e-006
1.164494591336272e-002	5.000000e+000	4.989101e+000	-4.162891e-006
1.167424278836272e-002	5.000000e+000	4.990256e+000	-3.721730e-006
1.170353966336272e-002	5.000000e+000	4.991289e+000	-3.327321e-006
1.173283653836272e-002	5.000000e+000	4.992212e+000	-2.974710e-006
1.176213341336272e-002	5.000000e+000	4.993037e+000	-2.659466e-006
1.179143028836272e-002	5.000000e+000	4.993775e+000	-2.377631e-006
1.182072716336272e-002	5.000000e+000	4.994435e+000	-2.125662e-006
1.185002403836272e-002	5.000000e+000	4.995025e+000	-1.900396e-006
1.187932091336272e-002	5.000000e+000	4.995552e+000	-1.699002e-006
1.190861778836272e-002	5.000000e+000	4.996023e+000	-1.518951e-006
1.193791466336272e-002	5.000000e+000	4.996445e+000	-1.357981e-006
1.196721153836271e-002	5.000000e+000	4.996821e+000	-1.214070e-006
1.199650841336271e-002	5.000000e+000	4.997158e+000	-1.085409e-006
1.202580528836271e-002	5.000000e+000	4.997459e+000	-9.703834e-007
1.205510216336271e-002	5.000000e+000	4.997729e+000	-8.675475e-007
1.208439903836271e-002	5.000000e+000	4.997970e+000	-7.756095e-007
1.211369591336271e-002	5.000000e+000	4.998185e+000	-6.934147e-007
1.214299278836271e-002	5.000000e+000	4.998377e+000	-6.199303e-007
1.217228966336271e-002	5.000000e+000	4.998549e+000	-5.542335e-007
1.220158653836271e-002	5.000000e+000	4.998703e+000	-4.954989e-007
1.223088341336271e-002	5.000000e+000	4.998840e+000	-4.429886e-007
1.226018028836271e-002	5.000000e+000	4.998963e+000	-3.960430e-007
1.228947716336271e-002	5.000000e+000	4.999073e+000	-3.540726e-007
1.231877403836271e-002	5.000000e+000	4.999171e+000	-3.165499e-007
1.234807091336271e-002	5.000000e+000	4.999259e+000	-2.830037e-007
1.240666466336271e-002	5.000000e+000	4.999408e+000	-2.261996e-007
1.246525841336270e-002	5.000000e+000	4.999527e+000	-1.807971e-007
1.252385216336270e-002	5.000000e+000	4.999621e+000	-1.445078e-007
1.258244591336270e-002	5.000000e+000	4.999698e+000	-1.155024e-007
1.267033653836270e-002	5.000000e+000	4.999784e+000	-8.253547e-008
1.275822716336270e-002	5.000000e+000	4.999846e+000	-5.897803e-008
1.284611778836270e-002	5.000000e+000	4.999889e+000	-4.214440e-008
1.291726734193412e-002	5.000000e+000	4.999913e+000	-3.308751e-008
1.298841689550555e-002	5.000000e+000	4.999933e+000	-2.534156e-008
1.305956644907698e-002	5.000000e+000	4.999950e+000	-1.890657e-008
1.313071600264840e-002	5.000000e+000	4.999964e+000	-1.378252e-008
1.320186555621983e-002	5.000000e+000	4.999974e+000	-9.969421e-009
1.327301510979126e-002	5.000000e+000	4.999981e+000	-7.467271e-009
1.334416466336269e-002	5.000000e+000	4.999984e+000	-6.276070e-009
1.353668698479125e-002	5.000000e+000	4.999990e+000	-3.990553e-009
1.372920930621982e-002	5.000000e+000	4.999994e+000	-2.169742e-009
1.392173162764839e-002	5.000000e+000	4.999998e+000	-8.136379e-010
1.411425394907695e-002	5.000000e+000	5.000000e+000	7.775935e-011
1.430677627050552e-002	5.000000e+000	5.000001e+000	5.044498e-010
1.449929859193409e-002	5.000000e+000	5.000001e+000	4.664335e-010
1.469182091336266e-002	5.000000e+000	5.000000e+000	-3.628959e-011
1.500000100214266e-002	4.989287e+000	5.000000e+000	-1.072277e-011
1.500000114469371e-002	4.276532e+000	5.000000e+000	9.110909e-010
1.500000128724476e-002	3.563776e+000	5.000000e+000	2.718464e-009
1.500000142979581e-002	2.851021e+000	5.000000e+000	5.411396e-009
1.500000157234685e-002	2.138266e+000	5.000000e+000	8.989887e-009
1.500000171489790e-002	1.425511e+000	5.000000e+000	1.345394e-008
1.500000185744895e-002	7.127553e-001	5.000000e+000	1.880355e-008
1.500000200000000e-002	0.000000e+000	5.000000e+000	2.503872e-008
1.500068843465798e-002	0.000000e+000	4.999841e+000	3.387219e-005
1.500137486931595e-002	0.000000e+000	4.999416e+000	6.691312e-005
1.500206130397393e-002	0.000000e+000	4.998725e+000	9.914781e-005
1.500274773863191e-002	0.000000e+000	4.997769e+000	1.305763e-004
1.500343417328988e-002	0.000000e+000	4.996547e+000	1.611985e-004
1.500412060794786e-002	0.000000e+000	4.995060e+000	1.910145e-004
1.500480704260583e-002	0.000000e+000	4.993307e+000	2.200243e-004
1.500961212187151e-002	0.000000e+000	4.975078e+000	4.044717e-004
1.501922228040287e-002	0.000000e+000	4.915800e+000	7.007432e-004
1.503216054210242e-002	0.000000e+000	4.802400e+000	9.876813e-004
1.504737557419328e-002	0.000000e+000	4.633808e+000	1.197933e-003
1.506467732008120e-002	0.000000e+000	4.414566e+000	1.320325e-003
1.508469199123566e-002	0.000000e+000	4.145230e+000	1.364941e-003
1.510790512356933e-002	0.000000e+000	3.831393e+000	1.343290e-003
1.513551253870196e-002	0.000000e+000	3.472010e+000	1.267747e-003
1.516480941370196e-002	0.000000e+000	3.116224e+000	1.163899e-003
1.519410628870196e-002	0.000000e+000	2.791276e+000	1.054412e-003
