time	V(vin)	V(vout)	I(R1)
1.019602531997795e-001	0.000000e+000	1.631001e+000	1.003455e-003
1.019980664226785e-001	0.000000e+000	1.150638e+000	1.473008e-003
1.020351580986608e-001	0.000000e+000	5.582875e-001	1.746956e-003
1.020627041250471e-001	0.000000e+000	7.302100e-002	1.798145e-003
1.020890965571975e-001	0.000000e+000	-3.900596e-001	1.711117e-003
1.021157115750928e-001	0.000000e+000	-8.108333e-001	1.499850e-003
1.021517771891538e-001	0.000000e+000	-1.258428e+000	1.064980e-003
1.021927892680017e-001	0.000000e+000	-1.590367e+000	4.525972e-004
1.022168614701355e-001	0.000000e+000	-1.668440e+000	5.856042e-005
1.022406913604905e-001	0.000000e+000	-1.636120e+000	-3.319375e-004
1.022645096570489e-001	0.000000e+000	-1.504451e+000	-6.869869e-004
1.023009189934577e-001	0.000000e+000	-1.156155e+000	-1.124648e-003
1.023402164692060e-001	0.000000e+000	-6.551807e-001	-1.442266e-003
1.023686552141283e-001	0.000000e+000	-2.357939e-001	-1.540282e-003
1.023949213338811e-001	0.000000e+000	1.647037e-001	-1.511214e-003
1.024217423095209e-001	0.000000e+000	5.491090e-001	-1.372359e-003
1.024531009024971e-001	0.000000e+000	9.259961e-001	-1.091799e-003
1.024926914525414e-001	0.000000e+000	1.270338e+000	-6.214691e-004
1.025214612345908e-001	0.000000e+000	1.412239e+000	-2.287306e-004
1.025410150791196e-001	0.000000e+000	1.432614e+000	4.990455e-005
1.025656649709279e-001	0.000000e+000	1.371969e+000	3.885788e-004
1.025929299162263e-001	0.000000e+000	1.210281e+000	7.175944e-004
1.026316972341490e-001	0.000000e+000	8.495076e-001	1.068400e-003
1.026739787031688e-001	0.000000e+000	3.533604e-001	1.287667e-003
1.027023565899499e-001	0.000000e+000	-1.283994e-002	1.313760e-003
1.027286857829241e-001	0.000000e+000	-3.483623e-001	1.234211e-003
1.027552850036589e-001	0.000000e+000	-6.478938e-001	1.063929e-003
1.027931162428072e-001	0.000000e+000	-9.777838e-001	7.140996e-004
1.028287798444613e-001	0.000000e+000	-1.177783e+000	3.158895e-004
