time	V(vin)	V(vout)	I(L1)
1.500105323054912e-002	0.000000e+000	4.999626e+000	5.189071e-005
1.500210446109824e-002	0.000000e+000	4.998628e+000	1.025366e-004
1.500315569164736e-002	0.000000e+000	4.997007e+000	1.519626e-004
1.500420692219648e-002	0.000000e+000	4.994761e+000	2.001688e-004
1.500525815274560e-002	0.000000e+000	4.991892e+000	2.471552e-004
1.500630938329472e-002	0.000000e+000	4.988399e+000	2.929218e-004
1.500736061384384e-002	0.000000e+000	4.984282e+000	3.374686e-004
1.501471925575868e-002	0.000000e+000	4.941488e+000	6.200686e-004
1.502943653958835e-002	0.000000e+000	4.801363e+000	1.065763e-003
1.505116576818042e-002	0.000000e+000	4.509332e+000	1.516410e-003
1.507489240023677e-002	0.000000e+000	4.114514e+000	1.783634e-003
1.510226250467752e-002	0.000000e+000	3.611583e+000	1.879009e-003
1.513110864444051e-002	0.000000e+000	3.077302e+000	1.826025e-003
1.516040551944051e-002	0.000000e+000	2.564281e+000	1.677086e-003
1.518970239444051e-002	0.000000e+000	2.101602e+000	1.481473e-003
1.521899926944051e-002	0.000000e+000	1.698290e+000	1.271805e-003
1.524829614444050e-002	0.000000e+000	1.355553e+000	1.067945e-003
1.527759301944050e-002	0.000000e+000	1.070082e+000	8.808680e-004
1.530688989444050e-002	0.000000e+000	8.362042e-001	7.157404e-004
1.533618676944050e-002	0.000000e+000	6.472677e-001	5.740662e-004
1.536548364444050e-002	0.000000e+000	4.965026e-001	4.551569e-004
1.539478051944050e-002	0.000000e+000	3.775174e-001	3.571152e-004
1.542407739444050e-002	0.000000e+000	2.845593e-001	2.774787e-004
1.545337426944050e-002	0.000000e+000	2.126205e-001	2.136239e-004
1.548267114444050e-002	0.000000e+000	1.574497e-001	1.630088e-004
1.551196801944050e-002	0.000000e+000	1.155091e-001	1.233058e-004
1.554126489444050e-002	0.000000e+000	8.390226e-002	9.246344e-005
1.557056176944050e-002	0.000000e+000	6.029085e-002	6.872378e-005
1.559985864444050e-002	0.000000e+000	4.280993e-002	5.061266e-005
1.562915551944050e-002	0.000000e+000	2.998841e-002	3.691558e-005
1.565845239444050e-002	0.000000e+000	2.067753e-002	2.664667e-005
1.568774926944050e-002	0.000000e+000	1.398868e-002	1.901590e-005
1.571704614444050e-002	0.000000e+000	9.240643e-003	1.339736e-005
1.574634301944050e-002	0.000000e+000	5.915788e-003	9.300314e-006
1.577563989444050e-002	0.000000e+000	3.624182e-003	6.343716e-006
1.580493676944050e-002	0.000000e+000	2.067167e-003	4.225341e-006
1.583223900044191e-002	0.000000e+000	1.082687e-003	2.801949e-006
1.585388579567879e-002	0.000000e+000	5.457398e-004	1.971222e-006
