Freq.	V(vout)
2.57000000000000e+003	(-6.10261387224854e+000dB,8.43149213982613e+001°)
2.58000000000000e+003	(-6.02792413250488e+000dB,8.42656614452721e+001°)
2.59000000000000e+003	(-5.95404760771189e+000dB,8.42165151086007e+001°)
2.60000000000000e+003	(-5.88096731968992e+000dB,8.41674811913472e+001°)
2.61000000000000e+003	(-5.80866680538709e+000dB,8.41185585151782e+001°)
2.62000000000000e+003	(-5.73713009652740e+000dB,8.40697459199751e+001°)
2.63000000000000e+003	(-5.66634170024782e+000dB,8.40210422634900e+001°)
2.64000000000000e+003	(-5.59628658066755e+000dB,8.39724464210093e+001°)
2.65000000000000e+003	(-5.52695014133625e+000dB,8.39239572850246e+001°)
2.66000000000000e+003	(-5.45831820851141e+000dB,8.38755737649118e+001°)
2.67000000000000e+003	(-5.39037701521859e+000dB,8.38272947866165e+001°)
2.68000000000000e+003	(-5.32311318605099e+000dB,8.37791192923464e+001°)
2.69000000000000e+003	(-5.25651372266769e+000dB,8.37310462402711e+001°)
2.70000000000000e+003	(-5.19056598995259e+000dB,8.36830746042280e+001°)
2.71000000000000e+003	(-5.12525770279818e+000dB,8.36352033734346e+001°)
2.72000000000000e+003	(-5.06057691348092e+000dB,8.35874315522077e+001°)
2.73000000000000e+003	(-4.99651199959664e+000dB,8.35397581596876e+001°)
2.74000000000000e+003	(-4.93305165252656e+000dB,8.34921822295697e+001°)
2.75000000000000e+003	(-4.87018486640640e+000dB,8.34447028098406e+001°)
2.76000000000000e+003	(-4.80790092757233e+000dB,8.33973189625205e+001°)
2.77000000000000e+003	(-4.74618940445946e+000dB,8.33500297634113e+001°)
2.78000000000000e+003	(-4.68504013792987e+000dB,8.33028343018497e+001°)
2.79000000000000e+003	(-4.62444323200846e+000dB,8.32557316804656e+001°)
2.80000000000000e+003	(-4.56438904500625e+000dB,8.32087210149459e+001°)
2.81000000000000e+003	(-4.50486818101195e+000dB,8.31618014338031e+001°)
2.82000000000000e+003	(-4.44587148173363e+000dB,8.31149720781487e+001°)
2.83000000000000e+003	(-4.38739001867349e+000dB,8.30682321014715e+001°)
2.84000000000000e+003	(-4.32941508561943e+000dB,8.30215806694205e+001°)
2.85000000000000e+003	(-4.27193819143849e+000dB,8.29750169595926e+001°)
2.86000000000000e+003	(-4.21495105315746e+000dB,8.29285401613241e+001°)
2.87000000000000e+003	(-4.15844558931736e+000dB,8.28821494754869e+001°)
2.88000000000000e+003	(-4.10241391358873e+000dB,8.28358441142892e+001°)
2.89000000000000e+003	(-4.04684832863571e+000dB,8.27896233010798e+001°)
2.90000000000000e+003	(-3.99174132021738e+000dB,8.27434862701563e+001°)
2.91000000000000e+003	(-3.93708555151554e+000dB,8.26974322665782e+001°)
2.92000000000000e+003	(-3.88287385767841e+000dB,8.26514605459826e+001°)
2.93000000000000e+003	(-3.82909924057086e+000dB,8.26055703744043e+001°)
2.94000000000000e+003	(-3.77575486372157e+000dB,8.25597610280995e+001°)
2.95000000000000e+003	(-3.72283404745848e+000dB,8.25140317933730e+001°)
2.96000000000000e+003	(-3.67033026422433e+000dB,8.24683819664087e+001°)
2.97000000000000e+003	(-3.61823713406415e+000dB,8.24228108531038e+001°)
2.98000000000000e+003	(-3.56654842027746e+000dB,8.23773177689061e+001°)
2.99000000000000e+003	(-3.51525802522780e+000dB,8.23319020386545e+001°)
3.00000000000000e+003	(-3.46435998630306e+000dB,8.22865629964231e+001°)
3.01000000000000e+003	(-3.41384847202011e+000dB,8.22412999853675e+001°)
3.02000000000000e+003	(-3.36371777826749e+000dB,8.21961123575754e+001°)
3.03000000000000e+003	(-3.31396232468052e+000dB,8.21509994739187e+001°)
3.04000000000000e+003	(-3.26457665114331e+000dB,8.21059607039097e+001°)
3.05000000000000e+003	(-3.21555541441216e+000dB,8.20609954255593e+001°)
3.06000000000000e+003	(-3.16689338485570e+000dB,8.20161030252387e+001°)
3.07000000000000e+003	(-3.11858544330669e+000dB,8.19712828975428e+001°)
3.08000000000000e+003	(-3.07062657802112e+000dB,8.19265344451573e+001°)
3.09000000000000e+003	(-3.02301188174024e+000dB,8.18818570787277e+001°)
3.10000000000000e+003	(-2.97573654885128e+000dB,8.18372502167308e+001°)
3.11000000000000e+003	(-2.92879587264310e+000dB,8.17927132853492e+001°)
3.12000000000000e+003	(-2.88218524265291e+000dB,8.17482457183475e+001°)
3.13000000000000e+003	(-2.83590014210047e+000dB,8.17038469569515e+001°)
3.14000000000000e+003	(-2.78993614540634e+000dB,8.16595164497292e+001°)
3.15000000000000e+003	(-2.74428891579107e+000dB,8.16152536524742e+001°)
3.16000000000000e+003	(-2.69895420295192e+000dB,8.15710580280914e+001°)
3.17000000000000e+003	(-2.65392784081439e+000dB,8.15269290464852e+001°)
3.18000000000000e+003	(-2.60920574535562e+000dB,8.14828661844485e+001°)
3.19000000000000e+003	(-2.56478391249687e+000dB,8.14388689255556e+001°)
3.20000000000000e+003	(-2.52065841606262e+000dB,8.13949367600554e+001°)
3.21000000000000e+003	(-2.47682540580360e+000dB,8.13510691847677e+001°)
3.22000000000000e+003	(-2.43328110548166e+000dB,8.13072657029813e+001°)
3.23000000000000e+003	(-2.39002181101379e+000dB,8.12635258243532e+001°)
3.24000000000000e+003	(-2.34704388867358e+000dB,8.12198490648105e+001°)
3.25000000000000e+003	(-2.30434377334762e+000dB,8.11762349464536e+001°)
3.26000000000000e+003	(-2.26191796684509e+000dB,8.11326829974617e+001°)
3.27000000000000e+003	(-2.21976303625852e+000dB,8.10891927519995e+001°)
3.28000000000000e+003	(-2.17787561237391e+000dB,8.10457637501254e+001°)
3.29000000000000e+003	(-2.13625238812841e+000dB,8.10023955377026e+001°)
3.30000000000000e+003	(-2.09489011711398e+000dB,8.09590876663100e+001°)
3.31000000000000e+003	(-2.05378561212524e+000dB,8.09158396931563e+001°)
3.32000000000000e+003	(-2.01293574375011e+000dB,8.08726511809949e+001°)
3.33000000000000e+003	(-1.97233743900169e+000dB,8.08295216980400e+001°)
3.34000000000000e+003	(-1.93198767998989e+000dB,8.07864508178851e+001°)
3.35000000000000e+003	(-1.89188350263162e+000dB,8.07434381194225e+001°)
3.36000000000000e+003	(-1.85202199539792e+000dB,8.07004831867635e+001°)
3.37000000000000e+003	(-1.81240029809712e+000dB,8.06575856091617e+001°)
3.38000000000000e+003	(-1.77301560069252e+000dB,8.06147449809358e+001°)
3.39000000000000e+003	(-1.73386514215357e+000dB,8.05719609013953e+001°)
3.40000000000000e+003	(-1.69494620933941e+000dB,8.05292329747661e+001°)
3.41000000000000e+003	(-1.65625613591367e+000dB,8.04865608101189e+001°)
3.42000000000000e+003	(-1.61779230128947e+000dB,8.04439440212975e+001°)
3.43000000000000e+003	(-1.57955212960369e+000dB,8.04013822268493e+001°)
3.44000000000000e+003	(-1.54153308871947e+000dB,8.03588750499561e+001°)
3.45000000000000e+003	(-1.50373268925609e+000dB,8.03164221183673e+001°)
3.46000000000000e+003	(-1.46614848364526e+000dB,8.02740230643332e+001°)
3.47000000000000e+003	(-1.42877806521312e+000dB,8.02316775245397e+001°)
3.48000000000000e+003	(-1.39161906728684e+000dB,8.01893851400444e+001°)
3.49000000000000e+003	(-1.35466916232541e+000dB,8.01471455562139e+001°)
3.50000000000000e+003	(-1.31792606107346e+000dB,8.01049584226613e+001°)
3.51000000000000e+003	(-1.28138751173776e+000dB,8.00628233931859e+001°)
3.52000000000000e+003	(-1.24505129918530e+000dB,8.00207401257130e+001°)
3.53000000000000e+003	(-1.20891524416265e+000dB,7.99787082822355e+001°)
3.54000000000000e+003	(-1.17297720253561e+000dB,7.99367275287557e+001°)
3.55000000000000e+003	(-1.13723506454879e+000dB,7.98947975352287e+001°)
